,eolica,nuclear,carbon,ciclo_combinado,hidraulica,solar_fotovoltaica,solar_termica,cogeneracion,exportacion_andorra,exportacion_marruecos,exportacion_portugal,exportacion_francia,importacion_francia,importacion_portugal,importacion_marruecos,importacion_andorra,target
1261,6575.496926,4754.138625,197.528,3367.3187724,5127.9543333,7179.3515387,1104.7485632,1458.4254598,-12.33375,-743.283,-1120.6973333,-1515.1560833,58.2499167,445.819,0.0,0.00875,14.6075
1262,2558.9258666,4488.6654167,186.436125,3669.3758621,5226.2021667,7070.7147141,905.4063363,1491.0404434,-12.55375,-760.905,-1000.6360833,-1357.452,89.272375,690.642,0.0,0.0,16.845
1263,3694.2575307,4065.6135833,186.322875,3704.8297083,4617.0052917,6662.6866015,885.926719,1417.2053102,-10.9170833,-278.946,-931.495875,-2598.4845833,0.1763333,750.904,7.272,0.0,11.113333333333337
1264,5658.819372,4314.4309583,196.1846667,4356.920274,4899.9025833,7223.429472,840.776677,1601.9877462,-9.9495833,-308.7,-1097.8422917,-2049.0067083,24.7550833,638.5752917,4.725,0.0041667,14.675833333333332
1265,5592.1854216,4368.45375,195.949125,3811.5573135,4726.551,7922.9050904,1052.5493232,1543.3041508,-5.6875,-383.787,-1159.8431667,-1586.8092917,49.976625,569.0185,5.868,0.0,18.37375
1266,4217.2572034,4372.0591667,196.3702917,3558.2178258,5024.823875,8452.6658816,1133.5267865,1683.7697083,-8.0779167,-498.996,-1025.1619167,-1243.81125,16.691,683.4404167,15.804,0.0095833,21.18958333333333
1267,8075.4937577,4371.6060833,194.6874583,3417.2859167,4453.75825,7545.8901423,995.1133682,1181.6885346,-4.1929167,-607.401,-1069.5223333,-2003.3845417,26.93625,403.4210417,0.0,0.0275,6.622083333333333
1268,8258.2800149,4372.9388333,193.8424167,3134.0731144,4043.6208598,7975.2993053,941.5077134,1233.1319829,-6.3279167,-504.657,-1225.406125,-1650.74225,38.0345,345.98875,0.0,0.0,8.131666666666666
1269,4558.9229377,4122.99425,186.6975417,3404.3310292,3505.826625,7566.5642377,1305.7982712,1251.0095001,-6.9875,-352.665,-1350.46625,-1259.5892917,105.6718333,555.7223333,5.508,0.0420833,12.9375
1270,2538.7218013,4391.181625,186.6672917,3908.8058963,2988.664875,6815.2183399,1146.1826865,1254.9953634,-6.19875,-573.786,-1363.9543333,-736.2679583,1071.3434583,411.91325,0.09,0.0,10.7425
1271,4542.6594729,4567.6036667,187.729,3911.9539167,3974.1929167,8966.9077576,1108.3475587,1493.892553,-8.54375,-762.093,-1433.7394167,-1107.5445,204.556625,584.1692083,0.0,0.0,20.110416666666666
1272,3777.911707,4806.4834583,195.7825417,3699.615875,3760.1236667,9329.0809829,1104.4129926,1701.0681217,-8.4704167,-631.224,-1558.14675,-500.1790417,817.304625,615.3072917,0.0,0.0,30.92458333333333
1273,3089.9394055,5124.485625,195.4911667,3868.9382917,4315.3077235,9050.4471651,1190.91645,1721.4616741,-9.07375,-528.579,-1506.4195833,-514.4871667,1163.702,594.1695833,3.321,0.0,34.65958333333334
1274,3092.3624081,5611.917,193.9234167,4191.6323075,4212.7010417,9160.754777,1019.5381185,1651.6167256,-9.6320833,-700.164,-1569.95975,-254.3514583,1641.5065,461.0319167,0.0,0.0,40.99625
1275,3382.4785413,5920.801,193.8183333,4505.568499,4147.5442083,8700.6036945,950.0086894,1729.3426017,-13.6425,-668.304,-1576.8050417,-281.6812917,2033.956875,267.8655417,0.0,0.0483333,53.67
1276,2938.2656866,5957.750625,186.6323333,3978.6093452,3566.6784583,7852.516674,1034.8296053,1706.3970291,-7.5616667,-670.356,-1739.0915417,-346.7617083,1812.4257917,143.018875,0.0,0.0,40.63666666666666
